keyword,relay_review_count,product_count,first_year,last_year,mean_rating
sensitive,120,56,2012,2023,3.7916666666666665
natural,77,49,2011,2023,3.831168831168831
white cast,66,30,2012,2023,3.409090909090909
mineral,56,31,2011,2022,3.3035714285714284
clean,41,31,2012,2023,3.292682926829268
dermatologist,37,24,2012,2022,3.810810810810811
reef safe,17,11,2017,2023,2.7058823529411766
non-greasy,15,13,2012,2022,4.066666666666666
broad spectrum,12,11,2013,2022,3.6666666666666665
gentle,6,6,2014,2019,4.0
chemical-free,0,0,,,
